SOC,Voltage,Current
99.2619542619543,4.1808,-1.7649
99.2515592515593,4.1794,-2.6997
99.2370062370062,4.1816,-0.0945
99.2349272349272,4.1801,-2.9142
99.2182952182952,4.1804,-1.0804
99.2120582120582,4.1824,-0.2784
99.2141372141372,4.1939,11.3581
99.2744282744283,4.1994,8.1732
99.3201663201663,4.1993,6.6356
99.3575883575884,4.1976,4.5514
99.3825363825364,4.1935,1.2822
99.3908523908524,4.1903,0.2963
99.3908523908524,4.1887,-0.0715
99.3908523908524,4.1878,-0.2835
99.3887733887734,4.1873,-0.3346
99.3866943866944,4.1872,-0.1788
99.3866943866944,4.1875,0.143
99.3866943866944,4.1872,-0.0255
99.3866943866944,4.187,-0.0843
99.3866943866944,4.1868,-0.0919
99.3846153846154,4.1868,-0.0919
99.3846153846154,4.1868,-0.0945
99.3846153846154,4.1867,-0.0945
99.3846153846154,4.1867,-0.0945
99.3825363825364,4.1867,-0.0945
99.3825363825364,4.1867,-0.0945
99.3825363825364,4.1867,-0.0945
99.3825363825364,4.1867,-0.0919
99.3804573804574,4.1867,-0.0945
99.3804573804574,4.1867,-0.0919
99.3804573804574,4.1865,-0.0945
99.3804573804574,4.1865,-0.0919
99.3783783783784,4.1865,-0.0945
99.3783783783784,4.1865,-0.0919
99.3783783783784,4.1865,-0.0945
99.3762993762994,4.1865,-0.0919
99.3762993762994,4.1865,-0.0945
99.3762993762994,4.1865,-0.0945
99.3762993762994,4.1865,-0.0945
99.3742203742204,4.1865,-0.0919
99.3742203742204,4.1865,-0.0945
99.3742203742204,4.1865,-0.0945
99.3742203742204,4.1865,-0.0945
99.3721413721414,4.1865,-0.0945
99.3721413721414,4.1865,-0.0945
99.3721413721414,4.1865,-0.0945
99.3721413721414,4.1865,-0.0945
99.3700623700624,4.1863,-0.1558
99.3700623700624,4.1857,-0.6896
99.3659043659044,4.1841,-1.5605
99.3555093555094,4.1833,-1.8057
99.3451143451143,4.1824,-2.2067
99.3305613305613,4.1828,-1.3486
99.3243243243243,4.1835,-1.0038
99.3180873180873,4.1843,-0.4087
99.3160083160083,4.184,-0.9501
99.3118503118503,4.1848,0.0409
99.3118503118503,4.1848,-0.779
99.3056133056133,4.1835,-1.3051
99.2993762993763,4.1826,-1.6116
99.2889812889813,4.1821,-1.747
99.2806652806653,4.1833,-0.3806
99.2765072765073,4.1831,-1.0983
99.2702702702703,4.1836,-0.3959
99.2661122661123,4.1824,-1.8364
99.2577962577963,4.1821,-1.4763
99.2494802494802,4.1819,-1.5171
99.2390852390852,4.1823,-1.1289
99.2349272349272,4.1824,-1.0395
99.2286902286902,4.1824,-1.0599
99.2224532224532,4.1819,-1.4635
99.2141372141372,4.1824,-0.5006
99.2099792099792,4.1818,-1.7138
99.1995841995842,4.1804,-2.2042
99.1871101871102,4.1803,-1.9845
99.1746361746362,4.1801,-1.9488
99.1642411642412,4.1792,-2.4264
99.1476091476091,4.1791,-2.2067
99.1372141372141,4.1808,-0.7841
99.1351351351351,4.1824,0.0255
